churn_status,transaction_count,transaction_change_ratio,contact_count_12_monts,churn_risk_segment
Existing Customer,23,0.917,1,High Risk
Existing Customer,23,1.091,1,High Risk
Existing Customer,23,1.091,3,High Risk
Existing Customer,23,1.3,3,High Risk
Existing Customer,23,1.3,3,High Risk
Existing Customer,23,1.3,2,High Risk
Existing Customer,23,1.3,4,High Risk
Existing Customer,23,1.875,2,High Risk
Existing Customer,23,1.875,3,High Risk
Existing Customer,23,1.875,0,High Risk
Existing Customer,23,2.286,3,High Risk
Attrited Customer,24,0.143,3,High Risk
Existing Customer,24,0.263,2,High Risk
Existing Customer,24,0.263,3,High Risk
Existing Customer,24,0.263,2,High Risk
Attrited Customer,24,0.263,3,High Risk
Attrited Customer,24,0.263,4,High Risk
Attrited Customer,24,0.412,3,High Risk
Existing Customer,24,0.5,3,High Risk
Attrited Customer,24,0.5,3,High Risk
Existing Customer,24,0.5,1,High Risk
Attrited Customer,24,0.5,3,High Risk
Attrited Customer,24,0.5,3,High Risk
Existing Customer,24,0.5,2,High Risk
Existing Customer,24,0.5,3,High Risk
Existing Customer,24,0.6,2,High Risk
Existing Customer,24,0.6,4,High Risk
Attrited Customer,24,0.6,2,High Risk
Existing Customer,24,0.6,3,High Risk
Existing Customer,24,0.6,3,High Risk
Existing Customer,24,0.714,2,High Risk
Existing Customer,24,0.714,3,High Risk
Existing Customer,24,0.714,0,High Risk
Existing Customer,24,0.714,2,High Risk
Existing Customer,24,0.714,2,High Risk
Existing Customer,24,0.714,3,High Risk
Existing Customer,24,0.714,2,High Risk
Existing Customer,24,0.714,3,High Risk
Existing Customer,24,0.714,4,High Risk
Existing Customer,24,0.846,2,High Risk
Existing Customer,24,0.846,4,High Risk
Existing Customer,24,0.846,2,High Risk
Existing Customer,24,0.846,2,High Risk
Existing Customer,24,0.846,0,High Risk
Existing Customer,24,0.846,0,High Risk
Existing Customer,24,1,3,High Risk
Existing Customer,24,1,0,High Risk
Existing Customer,24,1,3,High Risk
Existing Customer,24,1,3,High Risk
Existing Customer,24,1,3,High Risk
Attrited Customer,24,1.182,3,High Risk
Existing Customer,24,1.182,3,High Risk
Existing Customer,24,1.182,0,High Risk
Existing Customer,24,1.182,3,High Risk
Existing Customer,24,1.182,5,High Risk
Existing Customer,24,1.182,2,High Risk
Existing Customer,24,1.667,0,High Risk
Existing Customer,24,1.667,2,High Risk
Existing Customer,24,2.429,2,High Risk
Existing Customer,24,3,2,High Risk
Existing Customer,24,3,1,High Risk
Attrited Customer,25,0.19,3,High Risk
Existing Customer,25,0.25,3,High Risk
Attrited Customer,25,0.25,4,High Risk
Existing Customer,25,0.25,3,High Risk
Existing Customer,25,0.25,2,High Risk
Attrited Customer,25,0.25,5,High Risk
Existing Customer,25,0.316,4,High Risk
Existing Customer,25,0.316,4,High Risk
Attrited Customer,25,0.389,3,High Risk
Attrited Customer,25,0.471,1,High Risk
Existing Customer,25,0.471,2,High Risk
Existing Customer,25,0.471,2,High Risk
Existing Customer,25,0.562,4,High Risk
Attrited Customer,25,0.562,2,High Risk
Attrited Customer,25,0.562,3,High Risk
Attrited Customer,25,0.562,2,High Risk
Attrited Customer,25,0.562,3,High Risk
Attrited Customer,25,0.562,1,High Risk
Attrited Customer,25,0.562,5,High Risk
Existing Customer,25,0.562,4,High Risk
Existing Customer,25,0.667,4,High Risk
Existing Customer,25,0.667,0,High Risk
Attrited Customer,25,0.667,3,High Risk
Existing Customer,25,0.667,2,High Risk
Existing Customer,25,0.667,2,High Risk
Existing Customer,25,0.667,4,High Risk
Existing Customer,25,0.667,2,High Risk
Existing Customer,25,0.786,3,High Risk
Existing Customer,25,0.786,1,High Risk
Existing Customer,25,0.786,2,High Risk
Existing Customer,25,0.786,0,High Risk
Attrited Customer,25,0.786,3,High Risk
Existing Customer,25,0.786,4,High Risk
Existing Customer,25,0.786,2,High Risk
Existing Customer,25,0.923,3,High Risk
Existing Customer,25,0.923,2,High Risk
Existing Customer,25,0.923,2,High Risk
Existing Customer,25,0.923,3,High Risk
Existing Customer,25,0.923,1,High Risk
Attrited Customer,25,0.923,1,High Risk
Existing Customer,25,0.923,2,High Risk
Existing Customer,25,1.083,4,High Risk
Existing Customer,25,1.083,4,High Risk
Existing Customer,25,1.083,2,High Risk
Existing Customer,25,1.083,2,High Risk
Existing Customer,25,1.083,2,High Risk
Existing Customer,25,1.083,1,High Risk
Existing Customer,25,1.083,2,High Risk
Existing Customer,25,1.083,2,High Risk
Existing Customer,25,1.273,3,High Risk
Existing Customer,25,1.273,2,High Risk
Existing Customer,25,1.273,4,High Risk
Existing Customer,25,1.5,2,High Risk
Existing Customer,25,1.5,1,High Risk
Existing Customer,25,1.778,2,High Risk
Existing Customer,25,1.778,2,High Risk
Existing Customer,25,2.571,3,High Risk
Attrited Customer,26,0.13,4,High Risk
Existing Customer,26,0.238,4,High Risk
Attrited Customer,26,0.238,4,High Risk
Attrited Customer,26,0.238,3,High Risk
Existing Customer,26,0.3,2,High Risk
Existing Customer,26,0.3,2,High Risk
Attrited Customer,26,0.3,3,High Risk
Attrited Customer,26,0.368,4,High Risk
Existing Customer,26,0.368,2,High Risk
Existing Customer,26,0.368,2,High Risk
Existing Customer,26,0.368,0,High Risk
Existing Customer,26,0.368,3,High Risk
Attrited Customer,26,0.368,4,High Risk
Existing Customer,26,0.368,1,High Risk
Existing Customer,26,0.444,3,High Risk
Existing Customer,26,0.444,2,High Risk
Existing Customer,26,0.444,0,High Risk
Existing Customer,26,0.444,0,High Risk
Existing Customer,26,0.444,0,High Risk
Attrited Customer,26,0.444,2,High Risk
Attrited Customer,26,0.529,3,High Risk
Existing Customer,26,0.529,2,High Risk
Existing Customer,26,0.529,2,High Risk
Existing Customer,26,0.529,4,High Risk
Existing Customer,26,0.529,4,High Risk
Existing Customer,26,0.625,2,High Risk
Existing Customer,26,0.625,2,High Risk
Existing Customer,26,0.733,2,High Risk
Existing Customer,26,0.733,2,High Risk
Existing Customer,26,0.733,3,High Risk
Existing Customer,26,0.733,2,High Risk
Existing Customer,26,0.733,2,High Risk
Attrited Customer,26,0.733,5,High Risk
Existing Customer,26,0.857,0,High Risk
Existing Customer,26,0.857,4,High Risk
Existing Customer,26,0.857,0,High Risk
Existing Customer,26,0.857,3,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,2,High Risk
Attrited Customer,26,1,2,High Risk
Existing Customer,26,1,3,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,2,High Risk
Existing Customer,26,1,4,High Risk
Existing Customer,26,1,4,High Risk
Existing Customer,26,1,4,High Risk
Attrited Customer,26,1.167,4,High Risk
Existing Customer,26,1.167,2,High Risk
Existing Customer,26,1.364,3,High Risk
Existing Customer,26,1.364,3,High Risk
Existing Customer,26,1.364,3,High Risk
Existing Customer,26,1.6,1,High Risk
Existing Customer,26,1.6,3,High Risk
Attrited Customer,27,0,4,High Risk
Attrited Customer,27,0.038,4,High Risk
Existing Customer,27,0.174,2,High Risk
Attrited Customer,27,0.227,3,High Risk
Existing Customer,27,0.227,2,High Risk
Attrited Customer,27,0.286,3,High Risk
Attrited Customer,27,0.286,4,High Risk
Existing Customer,27,0.286,1,High Risk
Existing Customer,27,0.286,2,High Risk
Existing Customer,27,0.35,3,High Risk
Existing Customer,27,0.35,3,High Risk
Attrited Customer,27,0.35,4,High Risk
Existing Customer,27,0.35,4,High Risk
Attrited Customer,27,0.35,3,High Risk
Attrited Customer,27,0.35,4,High Risk
Existing Customer,27,0.35,5,High Risk
Attrited Customer,27,0.421,3,High Risk
Existing Customer,27,0.421,3,High Risk
Existing Customer,27,0.421,3,High Risk
Attrited Customer,27,0.421,3,High Risk
Existing Customer,27,0.421,2,High Risk
Attrited Customer,27,0.421,3,High Risk
Existing Customer,27,0.421,2,High Risk
Attrited Customer,27,0.421,3,High Risk
Existing Customer,27,0.5,1,High Risk
Existing Customer,27,0.5,2,High Risk
Existing Customer,27,0.5,4,High Risk
Existing Customer,27,0.5,3,High Risk
Existing Customer,27,0.5,4,High Risk
Existing Customer,27,0.5,2,High Risk
Existing Customer,27,0.588,3,High Risk
Existing Customer,27,0.588,2,High Risk
Existing Customer,27,0.588,0,High Risk
Existing Customer,27,0.588,4,High Risk
Existing Customer,27,0.588,2,High Risk
Existing Customer,27,0.588,0,High Risk
Existing Customer,27,0.588,2,High Risk
Attrited Customer,27,0.588,2,High Risk
Existing Customer,27,0.588,3,High Risk
Existing Customer,27,0.588,2,High Risk
Existing Customer,27,0.688,3,High Risk
Existing Customer,27,0.688,4,High Risk
Existing Customer,27,0.688,1,High Risk
Existing Customer,27,0.688,2,High Risk
Existing Customer,27,0.688,3,High Risk
Existing Customer,27,0.688,3,High Risk
Existing Customer,27,0.688,2,High Risk
Existing Customer,27,0.8,3,High Risk
Attrited Customer,27,0.8,3,High Risk
Existing Customer,27,0.8,3,High Risk
Existing Customer,27,0.8,3,High Risk
Existing Customer,27,0.8,3,High Risk
Existing Customer,27,0.8,2,High Risk
Existing Customer,27,0.8,3,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,0,High Risk
Existing Customer,27,0.929,0,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,4,High Risk
Existing Customer,27,0.929,3,High Risk
Existing Customer,27,0.929,5,High Risk
Existing Customer,27,0.929,2,High Risk
Existing Customer,27,0.929,2,High Risk
Attrited Customer,27,0.929,2,High Risk
Existing Customer,27,0.929,0,High Risk
Existing Customer,27,1.077,4,High Risk
Existing Customer,27,1.077,2,High Risk
Existing Customer,27,1.077,3,High Risk
Attrited Customer,27,1.25,3,High Risk
Existing Customer,27,1.25,3,High Risk
Existing Customer,27,1.25,3,High Risk
Existing Customer,27,1.25,0,High Risk
Existing Customer,27,1.455,2,High Risk
Existing Customer,27,1.455,3,High Risk
Existing Customer,27,1.7,2,High Risk
Existing Customer,27,1.7,2,High Risk
Existing Customer,27,1.7,3,High Risk
Existing Customer,27,2,2,High Risk
Existing Customer,27,2,3,High Risk
Attrited Customer,28,0,2,High Risk
Attrited Customer,28,0.077,4,High Risk
Attrited Customer,28,0.077,4,High Risk
Attrited Customer,28,0.167,2,High Risk
Existing Customer,28,0.217,3,High Risk
Existing Customer,28,0.217,2,High Risk
Attrited Customer,28,0.273,2,High Risk
Attrited Customer,28,0.273,1,High Risk
Attrited Customer,28,0.273,1,High Risk
Attrited Customer,28,0.273,4,High Risk
Existing Customer,28,0.273,3,High Risk
Existing Customer,28,0.273,3,High Risk
Attrited Customer,28,0.273,4,High Risk
Existing Customer,28,0.333,3,High Risk
Attrited Customer,28,0.333,4,High Risk
Attrited Customer,28,0.4,3,High Risk
Existing Customer,28,0.4,3,High Risk
Attrited Customer,28,0.4,2,High Risk
Attrited Customer,28,0.4,4,High Risk
Attrited Customer,28,0.474,3,High Risk
Existing Customer,28,0.474,3,High Risk
Attrited Customer,28,0.474,4,High Risk
Existing Customer,28,0.474,2,High Risk
Existing Customer,28,0.474,2,High Risk
Existing Customer,28,0.556,0,High Risk
Existing Customer,28,0.556,2,High Risk
Existing Customer,28,0.556,3,High Risk
Existing Customer,28,0.556,2,High Risk
Existing Customer,28,0.556,3,High Risk
Existing Customer,28,0.556,0,High Risk
Existing Customer,28,0.556,3,High Risk
Existing Customer,28,0.556,4,High Risk
Attrited Customer,28,0.556,2,High Risk
Existing Customer,28,0.647,3,High Risk
Existing Customer,28,0.647,3,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,3,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,2,High Risk
Existing Customer,28,0.647,0,High Risk
Existing Customer,28,0.647,0,High Risk
Existing Customer,28,0.75,3,High Risk
Existing Customer,28,0.75,3,High Risk
Existing Customer,28,0.75,1,High Risk
Existing Customer,28,0.75,0,High Risk
Existing Customer,28,0.75,3,High Risk
Existing Customer,28,0.75,3,High Risk
Attrited Customer,28,0.75,3,High Risk
Existing Customer,28,0.75,2,High Risk
Existing Customer,28,0.75,3,High Risk
Existing Customer,28,0.867,4,High Risk
Existing Customer,28,0.867,2,High Risk
Existing Customer,28,0.867,2,High Risk
Existing Customer,28,0.867,3,High Risk
Existing Customer,28,0.867,2,High Risk
Existing Customer,28,0.867,1,High Risk
Existing Customer,28,1,3,High Risk
Existing Customer,28,1,3,High Risk
Existing Customer,28,1,1,High Risk
Existing Customer,28,1,3,High Risk
Existing Customer,28,1,3,High Risk
Existing Customer,28,1.154,0,High Risk
Existing Customer,28,1.154,3,High Risk
Existing Customer,28,1.154,2,High Risk
Existing Customer,28,1.333,3,High Risk
Existing Customer,28,1.333,3,High Risk
Existing Customer,28,1.333,4,High Risk
Existing Customer,28,1.545,3,High Risk
Existing Customer,28,1.545,0,High Risk
Existing Customer,28,2.5,0,High Risk
Attrited Customer,29,0.074,3,High Risk
Existing Customer,29,0.208,4,High Risk
Existing Customer,29,0.261,0,High Risk
Attrited Customer,29,0.261,2,High Risk
Attrited Customer,29,0.318,3,High Risk
Existing Customer,29,0.318,2,High Risk
Existing Customer,29,0.318,4,High Risk
Existing Customer,29,0.318,5,High Risk
Attrited Customer,29,0.318,3,High Risk
Attrited Customer,29,0.318,4,High Risk
Attrited Customer,29,0.318,4,High Risk
Existing Customer,29,0.381,3,High Risk
Existing Customer,29,0.381,2,High Risk
Existing Customer,29,0.381,4,High Risk
Existing Customer,29,0.381,4,High Risk
Attrited Customer,29,0.381,2,High Risk
Existing Customer,29,0.381,2,High Risk
Existing Customer,29,0.381,2,High Risk
Existing Customer,29,0.381,0,High Risk
Attrited Customer,29,0.381,4,High Risk
Attrited Customer,29,0.45,1,High Risk
Existing Customer,29,0.45,2,High Risk
Attrited Customer,29,0.526,1,High Risk
Existing Customer,29,0.526,3,High Risk
Attrited Customer,29,0.526,2,High Risk
Existing Customer,29,0.526,4,High Risk
Existing Customer,29,0.526,0,High Risk
Existing Customer,29,0.526,2,High Risk
Attrited Customer,29,0.526,5,High Risk
Existing Customer,29,0.611,0,High Risk
Existing Customer,29,0.611,2,High Risk
Existing Customer,29,0.611,2,High Risk
Existing Customer,29,0.611,2,High Risk
Existing Customer,29,0.611,2,High Risk
Existing Customer,29,0.611,1,High Risk
Existing Customer,29,0.611,3,High Risk
Attrited Customer,29,0.611,3,High Risk
Existing Customer,29,0.611,2,High Risk
Existing Customer,29,0.706,5,High Risk
Existing Customer,29,0.706,3,High Risk
Existing Customer,29,0.706,2,High Risk
Existing Customer,29,0.706,2,High Risk
Existing Customer,29,0.706,0,High Risk
Existing Customer,29,0.706,1,High Risk
Existing Customer,29,0.706,3,High Risk
Existing Customer,29,0.812,3,High Risk
Existing Customer,29,0.812,2,High Risk
Existing Customer,29,0.812,3,High Risk
Existing Customer,29,0.812,2,High Risk
Existing Customer,29,0.812,0,High Risk
Existing Customer,29,0.812,4,High Risk
Existing Customer,29,0.812,2,High Risk
Existing Customer,29,0.933,2,High Risk
Existing Customer,29,0.933,1,High Risk
Existing Customer,29,1.071,2,High Risk
Existing Customer,29,1.071,2,High Risk
Existing Customer,29,1.071,3,High Risk
Existing Customer,29,1.071,3,High Risk
Existing Customer,29,1.071,4,High Risk
Existing Customer,29,1.071,4,High Risk
Existing Customer,29,1.071,2,High Risk
Existing Customer,29,1.071,2,High Risk
Existing Customer,29,1.231,3,High Risk
Existing Customer,29,1.231,3,High Risk
Existing Customer,29,1.231,2,High Risk
Existing Customer,29,1.417,2,High Risk
Existing Customer,29,1.417,3,High Risk
Existing Customer,29,1.417,3,High Risk
Existing Customer,29,1.417,2,High Risk
Existing Customer,29,1.417,1,High Risk
Existing Customer,29,1.417,2,High Risk
Existing Customer,29,1.636,3,High Risk
Existing Customer,29,1.636,3,High Risk
Attrited Customer,29,2.222,3,High Risk
Existing Customer,29,2.222,3,High Risk
Attrited Customer,30,0.111,2,High Risk
Existing Customer,30,0.111,2,High Risk
Attrited Customer,30,0.111,1,High Risk
Attrited Customer,30,0.2,3,High Risk
Attrited Customer,30,0.25,3,High Risk
Existing Customer,30,0.25,1,High Risk
Existing Customer,30,0.25,3,High Risk
Existing Customer,30,0.304,3,High Risk
Existing Customer,30,0.304,2,High Risk
Existing Customer,30,0.304,3,High Risk
Existing Customer,30,0.304,2,High Risk
Attrited Customer,30,0.304,1,High Risk
Attrited Customer,30,0.364,3,High Risk
Existing Customer,30,0.364,0,High Risk
Existing Customer,30,0.364,3,High Risk
Existing Customer,30,0.364,2,High Risk
Existing Customer,30,0.364,4,High Risk
Existing Customer,30,0.364,3,High Risk
Existing Customer,30,0.429,3,High Risk
Existing Customer,30,0.429,5,High Risk
Existing Customer,30,0.429,4,High Risk
Attrited Customer,30,0.429,3,High Risk
Existing Customer,30,0.429,2,High Risk
Existing Customer,30,0.429,3,High Risk
Existing Customer,30,0.429,3,High Risk
Existing Customer,30,0.429,2,High Risk
Existing Customer,30,0.429,2,High Risk
Existing Customer,30,0.5,2,High Risk
Existing Customer,30,0.5,3,High Risk
Existing Customer,30,0.5,1,High Risk
Existing Customer,30,0.5,3,High Risk
Existing Customer,30,0.5,3,High Risk
Attrited Customer,30,0.5,4,High Risk
Attrited Customer,30,0.579,4,High Risk
Attrited Customer,30,0.579,2,High Risk
Existing Customer,30,0.579,2,High Risk
Existing Customer,30,0.579,4,High Risk
Existing Customer,30,0.579,2,High Risk
Existing Customer,30,0.579,4,High Risk
Existing Customer,30,0.579,4,High Risk
Existing Customer,30,0.579,3,High Risk
Existing Customer,30,0.579,2,High Risk
Existing Customer,30,0.579,5,High Risk
Existing Customer,30,0.579,4,High Risk
Existing Customer,30,0.579,3,High Risk
Existing Customer,30,0.579,2,High Risk
Existing Customer,30,0.667,0,High Risk
Existing Customer,30,0.667,2,High Risk
Existing Customer,30,0.667,3,High Risk
Existing Customer,30,0.667,2,High Risk
Existing Customer,30,0.667,3,High Risk
Attrited Customer,30,0.667,3,High Risk
Existing Customer,30,0.667,2,High Risk
Existing Customer,30,0.667,2,High Risk
Existing Customer,30,0.667,2,High Risk
Existing Customer,30,0.667,4,High Risk
Existing Customer,30,0.765,4,High Risk
Existing Customer,30,0.765,2,High Risk
Existing Customer,30,0.765,4,High Risk
Existing Customer,30,0.765,2,High Risk
Existing Customer,30,0.765,2,High Risk
Existing Customer,30,0.875,1,High Risk
Existing Customer,30,0.875,3,High Risk
Existing Customer,30,0.875,3,High Risk
Existing Customer,30,0.875,4,High Risk
Existing Customer,30,0.875,2,High Risk
Attrited Customer,30,0.875,1,High Risk
Existing Customer,30,1,3,High Risk
Existing Customer,30,1,2,High Risk
Existing Customer,30,1,4,High Risk
Existing Customer,30,1.143,3,High Risk
Existing Customer,30,1.143,2,High Risk
Existing Customer,30,1.143,2,High Risk
Existing Customer,30,1.143,2,High Risk
Existing Customer,30,1.143,3,High Risk
Existing Customer,30,1.308,3,High Risk
